gene	expr	reptime	hic
AHCYL1	660515	373	29
AHCYL2	776656	420	44
AHDC1	738004	217	25
AHI1	152087	422	29
AHNAK	2746294	204	49
AHNAK2	854493	205	30
AHR	370010	410	2
AHRR	808969	399	34
AHSA1	504548	359	47
AHSA2	704383	371	36
AHSG	508316	436	45
AHSP	826452	688	-17
AICDA	291883	422	15
AIDA	222206	392	1
AIF1	2517285	220	35
AIF1L	829407	293	36
AIFM1	379257	NaN	58
AIFM2	484729	425	25
AIFM3	577297	192	58
AIG1	298429	699	13
AIM1	220264	271	41
AIM1L	1021101	217	22
AIM2	97976	866	8
AIMP1	158895	711	5
AIMP2	NaN	NaN	NaN
AIP	1392213	215	53
AIPL1	249769	359	6
AIRE	1153513	308	65
AJAP1	5695	921	4
AK1	1278941	201	51
AK2	807536	233	27
AK3	231882	608	30
AK3L1	280010	351	-9
AK5	484699	536	-8
AK7	328475	560	14
AKAP1	413131	258	-6
AKAP10	545359	348	-11
AKAP11	183147	411	51
AKAP12	340429	383	11
AKAP13	230754	454	17
AKAP14	772178	NaN	38
AKAP2	NaN	NaN	NaN
AKAP3	277828	874	18
AKAP4	56301	NaN	5
AKAP5	670466	221	54
AKAP6	127586	715	-10
AKAP7	165730	682	15
AKAP8	494792	481	28
AKAP8L	509601	481	30
AKAP9	674222	611	16
AKD1	345757	686	21
AKIRIN1	681587	318	30
AKIRIN2	235638	346	33
AKNA	218424	360	14
AKNAD1	801073	236	8
AKR1A1	873800	161	27
AKR1B1	328321	415	9
AKR1B10	403585	319	21
AKR1B15	403585	319	21
AKR1C1	343868	608	-13
AKR1C2	343868	608	-13
AKR1C3	438967	678	-14
AKR1C4	630098	678	-21
AKR1D1	220333	478	16
AKR1E2	287187	559	-13
AKR7A2	810462	448	40
AKR7A3	810462	448	40
AKR7L	799326	448	35
AKT1	711772	247	36
AKT1S1	1673246	205	37
AKT2	1005838	400	30
AKT3	208930	954	-4
AKTIP	247554	403	8
ALAD	390186	297	36
ALAS1	1114737	181	52
ALAS2	245504	NaN	8
ALB	315782	613	8
ALCAM	165047	784	-3
ALDH16A1	2173457	290	44
ALDH18A1	369001	454	26
ALDH1A1	344512	542	1
ALDH1A2	187239	674	-1
ALDH1A3	378556	374	0
ALDH1B1	272380	622	3
ALDH1L1	203027	610	30
ALDH1L2	244603	334	33
ALDH2	691258	242	44
ALDH3A1	550749	220	-13
ALDH3A2	544087	332	-2
ALDH3B1	1357582	356	31
ALDH3B2	1408104	424	60
ALDH4A1	642600	453	27
ALDH5A1	407627	461	18
ALDH6A1	495634	236	40
ALDH7A1	235232	191	19
ALDH8A1	152922	364	19
ALDH9A1	321831	408	-0
ALDOA	NaN	NaN	NaN
ALDOB	112947	898	-22
ALDOC	1651143	225	31
ALG1	552298	419	3
ALG10	23464	1025	-29
ALG10B	42332	589	-38
ALG11	385945	461	41
ALG12	771339	208	6
ALG13	124127	NaN	20
ALG14	275272	425	-9
ALG1L	213057	583	19
ALG2	203560	410	37
ALG3	1460188	257	49
ALG5	176745	650	16
ALG6	133567	477	2
ALG8	551110	208	23
ALG9	437477	182	28
ALK	202198	882	19
ALKBH1	455772	384	47
ALKBH2	595266	487	20
ALKBH3	437017	676	6
ALKBH4	611052	174	63
ALKBH5	918230	192	23
ALKBH6	980636	320	19
ALKBH7	943949	407	31
ALKBH8	234842	643	-2
ALLC	252769	496	5
ALMS1	777501	590	22
ALOX12	1645511	360	14
ALOX12B	1528802	272	26
ALOX15	1226703	318	25
ALOX15B	1528802	272	26
ALOX5	127792	737	36
ALOX5AP	381672	451	76
ALOXE3	1455014	202	31
ALPI	271362	191	32
ALPK1	185655	467	42
ALPK2	204534	290	67
ALPK3	351352	213	28
ALPL	547986	297	42
ALPP	307666	204	37
