gene	expr	reptime	hic
MPV17	1245306	182	52
MPV17L	545296	212	36
MPV17L2	1178047	210	43
MPZ	735152	293	41
MPZL1	546300	319	16
MPZL2	805791	211	41
MPZL3	805791	211	41
MR1	201966	253	23
MRAP	436753	379	8
MRAP2	54672	813	-16
MRAS	201973	408	19
MRC1	NaN	NaN	NaN
MRC1L1	75804	350	-2
MRC2	200276	280	-18
MRE11A	320374	589	-10
MREG	925953	501	19
MRFAP1	501655	278	47
MRFAP1L1	501020	201	62
MRGPRD	557282	416	51
MRGPRE	583782	421	36
MRGPRF	557282	416	51
MRGPRX1	561250	695	15
MRGPRX2	483720	695	-1
MRGPRX3	631291	436	20
MRGPRX4	631291	436	20
MRI1	767214	289	6
MRM1	468055	548	23
MRO	240974	355	12
MRP63	447305	240	43
MRPL1	159162	508	15
MRPL10	1071489	214	29
MRPL11	1941577	194	51
MRPL12	3745109	205	30
MRPL13	223063	877	-16
MRPL14	1358424	203	53
MRPL15	268859	464	31
MRPL16	395993	494	8
MRPL17	424776	548	8
MRPL18	652619	453	26
MRPL19	138530	559	2
MRPL2	1239021	301	42
MRPL20	1736268	273	28
MRPL21	594397	303	45
MRPL22	516166	461	38
MRPL23	827096	481	53
MRPL24	1649536	208	53
MRPL27	1335838	196	24
MRPL28	1549307	207	37
MRPL3	276806	843	15
MRPL30	489016	633	27
MRPL32	163131	744	-6
MRPL33	1044890	146	30
MRPL34	842088	211	43
MRPL35	773440	425	39
MRPL36	394241	608	6
MRPL37	465615	313	26
MRPL38	1697896	165	28
MRPL39	533414	822	75
MRPL4	1729517	200	31
MRPL40	650407	300	16
MRPL41	1315685	404	41
MRPL42	380369	364	15
MRPL43	1020226	247	40
MRPL44	314020	346	23
MRPL45	1101194	504	10
MRPL46	212296	630	4
MRPL47	397411	520	10
MRPL48	553005	214	42
MRPL49	3267059	207	46
MRPL50	112947	898	-22
MRPL51	2764720	179	42
MRPL52	1165302	225	35
MRPL53	1069803	343	45
MRPL54	2144458	206	34
MRPL55	702621	391	5
MRPL9	1062482	255	29
MRPS10	524386	273	43
MRPS11	212296	630	4
MRPS12	1794625	282	21
MRPS14	176818	828	4
MRPS15	581032	347	31
MRPS16	829738	249	44
MRPS17	760564	642	11
MRPS18A	1626879	278	43
MRPS18B	2080582	271	32
MRPS18C	330595	378	40
MRPS2	298554	539	14
MRPS21	1213150	197	38
MRPS22	261288	671	9
MRPS23	873797	222	6
MRPS24	872910	239	44
MRPS25	532551	395	45
MRPS26	835590	288	54
MRPS27	414939	342	29
MRPS28	194118	410	45
MRPS30	87489	1075	-7
MRPS31	270527	470	44
MRPS33	354283	679	10
MRPS34	1604603	288	36
MRPS35	348119	376	4
MRPS36	423022	261	47
MRPS5	172221	647	11
MRPS6	785767	574	70
MRPS7	1723762	171	31
MRPS9	168425	599	-3
MRRF	319049	597	19
MRS2	399209	465	7
MRTO4	788190	448	30
MRVI1	755456	391	21
MS4A1	333232	899	13
MS4A10	744779	621	23
MS4A12	333232	899	13
MS4A13	337606	859	15
MS4A14	433906	899	24
MS4A15	744779	621	23
MS4A2	336373	691	4
MS4A3	336373	691	4
MS4A4A	469977	882	8
MS4A5	383569	899	18
MS4A6A	336539	784	-2
MS4A6E	433906	899	24
MS4A7	433906	899	24
MS4A8B	559288	756	16
MSC	25834	905	6
MSGN1	135007	1245	10
MSH2	793002	406	28
MSH3	319054	752	36
MSH4	146770	535	-10
MSH5	2509866	183	32
MSH6	488225	587	32
MSI1	1597755	182	50
MSI2	801767	507	-7
MSL1	1573630	202	28
MSL2	206721	398	16
MSL3	53978	NaN	41
MSLN	1187310	273	39
MSLNL	1187310	273	39
MSMB	406207	579	41
MSMP	922448	190	48
MSN	325257	NaN	47
MSR1	53956	947	-48
MSRA	114315	831	6
MSRB2	126042	469	5
MSRB3	324747	580	3
MST1	1551582	271	48
MST1R	1289886	170	38
MST4	151066	NaN	32
MSTN	508463	478	28
MSTO1	2230401	185	32
MSX1	132550	558	37
MSX2	30602	599	14
MT1A	653985	187	28
MT1B	653985	187	28
MT1E	653985	187	28
MT1F	653985	187	28
MT1G	661565	143	26
MT1H	661565	143	26
MT1M	653985	187	28
MT1X	661565	143	26
MT2A	653985	187	28
MT3	653985	187	28
MT4	598942	187	24
MTA1	773175	244	40
MTA2	2695768	217	42
MTA3	343875	378	27
MTAP	223932	357	-28
MTBP	193807	877	-3
MTCH1	832054	220	41
MTCH2	989876	214	28
MTCP1	NaN	NaN	NaN
MTCP1NB	985719	NaN	6
MTDH	605177	163	38
MTERF	512495	617	-7
MTERFD1	217849	671	12
MTERFD2	1394664	278	35
MTERFD3	156112	473	21
MTF1	445066	303	33
MTF2	611888	391	16
MTFMT	697075	170	51
MTFR1	146207	407	16
MTG1	485067	472	8
MTHFD1	640692	221	45
MTHFD1L	341712	438	21
MTHFD2	1026994	272	50
MTHFD2L	180212	330	15
MTHFR	530804	196	39
MTHFS	221773	711	9
MTHFSD	70370	416	3
MTIF2	964970	349	25
MTIF3	306964	570	60
MTL5	712475	354	47
MTM1	287123	NaN	16
MTMR1	288573	NaN	9
MTMR10	279767	591	22
MTMR11	1115711	451	51
MTMR12	384742	160	27
MTMR14	899035	348	39
MTMR15	280093	591	19
MTMR2	285979	390	-1
MTMR3	752285	253	29
MTMR4	855696	384	23
MTMR6	330431	538	31
MTMR7	317985	345	7
MTMR8	56100	NaN	-0
MTMR9	499514	671	36
MTNR1A	351103	675	-26
MTNR1B	55111	742	-18
MTO1	720190	139	29
MTOR	577167	416	32
MTP18	657636	288	48
MTPAP	91344	331	12
MTPN	387359	588	-9
MTR	407246	773	-13
MTRF1	309426	300	61
MTRF1L	159618	677	-1
MTRR	66042	1013	-9
MTSS1	481244	561	39
MTSS1L	880781	184	34
MTTP	318764	787	11
MTUS1	457439	237	-5
MTUS2	267724	784	-5
MTX1	1801444	194	32
MTX2	239999	888	11
MTX3	319253	795	31
MUC1	1801444	194	32
MUC13	364165	212	42
MUC15	21485	951	-18
MUC16	551668	537	-61
MUC17	1124475	272	43
MUC2	1467711	466	43
MUC20	907437	365	47
MUC21	2483101	261	36
MUC4	920866	365	49
MUC5B	1400716	311	46
MUC6	1429028	466	43
MUC7	264556	861	26
MUCL1	590746	746	-4
MUDENG	167619	944	19
MUL1	573203	429	30
MUM1	2285841	209	31
MUM1L1	48678	NaN	-10
MURC	234309	702	-21
MUS81	3779084	287	42
MUSK	254657	422	9
MUSTN1	1193949	272	49
MUT	64105	1139	-14
MUTED	578469	368	13
MUTYH	1002765	249	29
MVD	802673	189	41
MVK	442710	465	38
MVP	NaN	NaN	NaN
MX1	253874	454	53
MX2	241283	506	46
MXD1	844060	221	37
MXD3	942017	227	53
MXD4	836839	332	29
MXI1	403252	359	12
MXRA5	223878	NaN	-28
MXRA7	913566	191	26
MXRA8	1744013	273	28
MYADM	849708	486	-50
MYB	150100	410	32
MYBBP1A	1252775	318	22
MYBL1	329076	140	37
MYBL2	382727	276	24
MYBPC1	348152	448	6
MYBPC2	1038277	491	30
MYBPC3	1189866	245	45
MYBPH	507603	453	31
MYBPHL	988224	302	29
MYC	406323	204	23
MYCBP	524940	458	24
MYCBP2	236609	713	59
MYCBPAP	1432761	200	22
MYCL1	996021	270	31
MYCN	169653	1491	-12
MYCT1	188249	600	-9
MYD88	302137	411	32
MYEF2	219744	588	-38
MYEOV	558031	443	37
MYEOV2	340416	482	28
MYF5	27810	974	-1
MYF6	27810	974	-1
MYH1	76487	723	-50
MYH10	646488	488	10
MYH11	435762	283	29
MYH13	83322	731	-47
MYH14	1215275	528	26
MYH15	257473	874	3
MYH2	75573	738	-49
MYH3	60385	749	-41
MYH4	77401	731	-50
MYH6	1220624	456	31
MYH7	1220544	456	29
MYH7B	968413	236	40
MYH8	80361	731	-49
MYH9	1223952	226	49
MYL1	186926	511	3
MYL10	653305	246	45
MYL12A	551966	328	55
MYL12B	551966	328	55
MYL2	907625	570	47
MYL3	427952	376	40
MYL4	960078	160	22
MYL5	639827	489	12
MYL6	2878044	171	40
MYL6B	2878044	171	40
MYL7	1151124	282	56
MYL9	858383	190	46
MYLIP	159273	596	27
MYLK	284041	449	32
MYLK2	1015946	241	37
MYLK3	443420	253	-10
MYLK4	470344	285	28
MYLPF	2312884	165	47
MYNN	400732	689	2
MYO10	275988	622	-15
MYO15A	911350	192	29
MYO16	108921	641	-19
MYO18A	1560056	159	33
MYO18B	198261	712	-37
MYO19	416822	556	23
MYO1A	2026922	199	41
MYO1B	480504	416	4
MYO1C	1380844	220	18
MYO1D	502828	818	5
MYO1E	773032	386	43
MYO1F	674374	214	-7
MYO1G	1110535	235	57
MYO1H	438867	470	39
MYO3A	63308	873	-6
MYO3B	324392	844	28
MYO5A	517214	386	19
MYO5B	276079	530	40
MYO5C	534690	195	24
MYO6	362445	482	17
MYO7A	442776	450	42
MYO7B	528013	229	36
MYO9A	1084708	386	22
MYO9B	945446	330	36
MYOC	411007	718	10
MYOCD	113594	848	-54
MYOD1	391398	626	17
MYOF	458453	380	16
MYOG	430455	453	42
MYOM1	593610	424	50
MYOM2	104051	570	-26
MYOM3	817104	171	22
MYOT	946917	396	47
MYOZ1	1051799	153	43
MYOZ2	241167	683	1
MYOZ3	1107515	211	54
MYPN	407663	251	19
MYPOP	874987	198	41
MYRIP	195545	917	9
MYSM1	303727	517	-2
MYST1	1296884	351	35
MYST2	1129239	238	27
MYST3	608794	464	31
MYST4	246599	335	42
MYT1	812501	312	48
MYT1L	54881	901	-24
MZF1	2673870	276	11
N4BP1	156698	392	1
N4BP2	540527	260	45
N4BP2L1	226626	435	53
N4BP2L2	237148	455	47
N4BP3	821697	248	39
N6AMT1	312901	480	6
N6AMT2	403677	429	44
NAA10	2341816	NaN	26
NAA11	103025	821	-5
NAA15	389880	299	26
NAA16	302803	283	51
NAA20	225789	502	12
NAA25	771475	200	42
NAA30	150623	939	16
NAA35	320125	381	21
NAA38	72287	922	-13
NAA40	1322584	277	42
NAA50	441530	419	24
NAAA	483325	429	44
NAALAD2	131926	1141	-22
NAALADL1	3267059	207	46
NAALADL2	58421	1139	-15
NAB1	504177	232	37
NAB2	2026922	199	41
NACA	2637730	154	47
NACA2	323585	358	-8
NACC1	1948449	221	41
NACC2	809002	262	46
NADK	1511678	243	30
NADSYN1	546912	626	50
NAE1	868790	142	24
NAF1	72763	1218	-7
NAGA	1321127	363	65
NAGK	367824	470	34
NAGLU	1993535	162	27
NAGPA	635794	302	9
NAGS	920082	241	29
NAIF1	1898149	195	32
NAIP	329526	581	16
NALCN	47011	804	5
NAMPT	246330	370	27
NANOG	175700	467	16
NANOS1	680734	411	-1
NANOS2	866240	261	42
NANOS3	754888	241	31
NANP	547844	515	-31
NANS	484638	272	48
NAP1L1	604083	438	17
NAP1L2	196410	NaN	-3
NAP1L3	33770	NaN	-11
NAP1L4	550048	221	38
NAP1L5	177679	486	8
NAPA	794875	276	44
NAPB	188695	688	-19
NAPEPLD	594757	579	34
NAPG	191442	594	17
NAPRT1	2183482	235	37
NAPSA	1072052	528	26
NARF	2583801	179	20
NARFL	1207790	194	33
NARG2	230111	266	23
NARS	304947	352	38
NARS2	302979	569	17
NASP	873800	161	27
NAT1	370301	569	-10
NAT10	769733	358	33
NAT15	1083663	246	34
NAT2	322678	627	-26
NAT6	843769	206	51
NAT8	876583	590	16
NAT8B	978005	466	31
NAT8L	717079	321	34
NAT9	983414	484	17
NAV1	778347	223	27
NAV2	164305	496	9
NAV3	23591	1077	-25
NBAS	186706	1405	10
NBEA	38939	1070	11
NBEAL1	478657	384	31
NBEAL2	537135	371	45
NBL1	775439	271	32
NBN	251472	419	35
NBPF1	675669	259	40
NBPF11	NaN	NaN	NaN
NBPF14	NaN	NaN	NaN
NBPF15	NaN	NaN	NaN
NBPF16	NaN	NaN	NaN
NBPF3	563178	283	37
NBPF7	415110	581	26
NBR1	1341175	172	25
NCALD	362848	629	41
NCAM1	68889	524	-1
NCAM2	14306	1515	-61
NCAN	940952	232	17
NCAPD2	2764720	179	42
NCAPD3	270385	601	14
NCAPG	271201	1073	21
NCAPG2	267997	565	-31
NCAPH	907236	316	46
NCAPH2	1075525	207	42
NCBP1	495483	358	36
NCBP2	754196	306	29
NCCRP1	1652029	286	26
NCDN	1049488	388	34
NCEH1	314731	235	20
NCF1	895858	125	49
NCF2	618153	407	31
NCF4	1261877	537	50
NCK1	181954	195	20
NCK2	209853	689	15
NCKAP1	350474	419	10
NCKAP1L	643138	151	35
NCKAP5	36731	826	18
NCKAP5L	1560163	231	56
NCKIPSD	1646019	212	45
NCL	1052303	216	43
NCLN	905626	241	30
NCOA1	343965	403	33
NCOA2	265128	742	35
NCOA3	266824	287	49
NCOA4	406207	579	41
NCOA5	595034	381	53
NCOA6	1006385	170	47
NCOA7	184468	179	18
NCOR1	954548	370	-18
NCOR2	1239461	472	37
NCR1	840563	573	-15
NCR2	338294	510	40
NCR3	2517285	220	35
NCS1	650366	231	30
NCSTN	987855	526	28
NDC80	374218	390	-0
NDE1	495419	283	26
NDEL1	761259	427	18
NDFIP1	606399	371	40
NDFIP2	154294	370	50
NDN	59699	961	-58
NDNL2	242355	885	-39
NDOR1	1724821	399	43
NDP	73234	NaN	13
NDRG1	234084	322	0
NDRG2	1005555	429	4
NDRG3	902649	176	61
NDRG4	678092	320	0
NDST1	1109777	188	60
NDST2	1009357	191	42
NDST3	150671	985	-20
NDST4	26862	1055	-20
NDUFA1	772178	NaN	38
NDUFA10	271696	569	17
NDUFA11	1192025	294	35
NDUFA12	369755	560	25
NDUFA13	868278	284	7
NDUFA2	774470	356	31
NDUFA3	735613	439	-53
NDUFA4	142078	1098	-11
NDUFA4L2	2162032	238	58
NDUFA5	88676	779	-25
NDUFA6	1321127	363	65
NDUFA7	778783	209	14
NDUFA8	220092	528	30
NDUFA9	277828	874	18
NDUFAB1	536544	561	43
NDUFAF1	897414	237	24
NDUFAF2	205876	502	11
NDUFAF3	1799657	241	41
NDUFAF4	123845	1308	1
NDUFB1	356163	415	27
NDUFB10	1747301	183	46
NDUFB11	819569	NaN	38
NDUFB2	329944	567	29
NDUFB3	644877	205	39
NDUFB4	317876	449	0
NDUFB5	397411	520	10
NDUFB6	474275	362	-7
NDUFB7	1008795	204	26
NDUFB8	1153157	264	50
NDUFB9	456351	544	44
NDUFC1	387523	299	20
NDUFC2	556958	209	38
NDUFS1	311488	433	24
NDUFS2	728669	234	37
NDUFS3	989876	214	28
NDUFS4	186422	619	5
NDUFS5	682309	208	26
NDUFS6	387770	635	11
NDUFS7	2285841	209	31
NDUFS8	1263224	251	47
NDUFV1	1374022	393	53
NDUFV2	419199	391	53
NDUFV3	441011	206	66
NEB	248944	641	13
NEBL	71095	484	-19
NECAB1	108662	842	-13
NECAB2	494952	460	3
NECAB3	710350	161	55
NECAP1	142724	300	23
NECAP2	813996	191	40
NEDD1	51429	882	-6
NEDD4	259242	271	-1
NEDD4L	321507	522	58
NEDD8	944836	220	40
NEDD9	228484	418	30
NEFH	723458	203	35
NEFL	180048	521	-2
NEFM	182761	573	-2
NEGR1	23816	1136	-23
NEIL1	814680	296	43
NEIL2	470737	360	34
NEIL3	53396	746	-20
NEK1	245919	399	12
NEK10	107333	515	-15
NEK11	312654	797	12
NEK2	391935	167	9
NEK3	397134	432	30
NEK4	1205825	272	48
NEK5	407938	432	42
NEK6	483948	406	41
NEK7	114791	402	-13
NEK8	1695792	208	40
NEK9	919043	222	47
NELF	1591716	213	30
NELL1	45732	989	-19
NELL2	79685	930	-19
NENF	416515	283	18
NEO1	328878	705	14
NES	1851672	180	37
NET1	740293	446	8
NETO1	32720	916	-26
NETO2	542002	532	7
NEU1	2485614	188	36
NEU2	410526	294	33
NEU3	762277	454	36
NEU4	598219	487	29
NEURL	532306	170	44
NEURL2	725555	209	59
NEURL4	1911735	206	36
NEUROD1	210899	380	17
NEUROD2	1164935	239	28
NEUROD4	115336	828	15
NEUROD6	48298	883	-4
NEUROG1	496830	608	34
NEUROG2	186926	647	22
NEUROG3	824126	519	31
NEXN	367341	256	1
NF1	462449	396	26
NF2	734742	149	38
NFAM1	967833	185	53
NFASC	388939	440	33
NFAT5	1302986	NaN	41
NFATC1	213864	598	6
NFATC2	363545	482	28
NFATC2IP	1189140	257	55
NFATC3	882378	152	43
NFATC4	897133	265	40
NFE2	753625	205	59
NFE2L1	1205950	255	20
NFE2L2	372300	145	36
NFE2L3	910990	445	39
NFIA	113571	399	-8
NFIB	135826	563	-17
NFIC	2180542	222	37
NFIL3	150560	369	18
NFIX	1914702	221	41
NFKB1	376672	311	41
NFKB2	975992	178	39
NFKBIA	416091	125	31
NFKBIB	1989663	219	30
NFKBID	1060028	321	47
NFKBIE	1037256	312	54
NFKBIL1	2517285	220	35
NFKBIL2	2043455	200	36
NFKBIZ	550073	421	16
NFRKB	635581	248	-3
NFS1	1423559	169	53
NFU1	488690	285	23
NFX1	909394	141	38
NFXL1	186668	602	41
NFYA	145501	611	37
NFYB	1222031	156	17
NFYC	552400	323	24
NGB	554839	418	37
NGDN	1220464	499	27
NGEF	404109	215	33
NGF	537568	558	6
NGFR	971109	303	31
NGFRAP1	448080	NaN	32
NGLY1	216966	701	-1
NGRN	1036233	139	38
NHEDC1	357993	363	26
NHEDC2	350752	454	26
NHEJ1	798168	177	37
NHLH1	987855	526	28
NHLH2	503800	639	9
NHLRC1	487819	397	-1
NHLRC2	266343	515	18
NHLRC3	150239	998	11
NHLRC4	1115707	213	39
NHP2	821697	248	39
NHP2L1	1475100	183	50
NHS	70191	NaN	12
NHSL2	623448	NaN	41
NICN1	1585328	201	32
NID1	555035	318	19
NID2	234008	432	20
NIF3L1	635570	201	31
NIN	445811	257	34
NINJ1	504920	448	61
NINJ2	456582	197	40
NINL	613303	454	-26
NIP7	1202748	125	20
NIPA1	352778	529	-8
NIPA2	352778	529	-8
NIPAL1	225089	474	38
NIPAL2	612198	462	32
NIPAL3	604127	325	29
NIPAL4	266195	1087	41
NIPBL	341972	479	11
NIPSNAP1	713942	190	39
NIPSNAP3A	194451	718	-21
NIPSNAP3B	194451	718	-21
NISCH	1096247	192	55
NIT1	689033	250	23
NIT2	378824	361	26
NKAIN1	586763	234	28
NKAIN2	23367	993	-28
NKAIN3	138003	904	-16
NKAIN4	1005137	285	50
NKAP	772178	NaN	38
NKAPL	273319	502	35
NKD1	307084	646	-6
NKD2	692388	484	29
NKG7	368509	610	-9
NKIRAS1	399346	319	6
NKIRAS2	2081077	206	23
NKPD1	1230654	243	41
NKRF	663615	NaN	48
NKTR	350455	445	42
NKX2-1	58829	624	-18
NKX2-2	283479	694	-10
NKX2-3	278426	497	13
NKX2-4	283501	638	-3
NKX2-5	483508	458	33
NKX2-8	49455	583	-20
NKX3-1	378220	544	16
NKX3-2	134006	592	24
NKX6-1	95574	895	-5
NKX6-2	278505	581	-12
NKX6-3	434010	533	37
NLE1	516190	504	23
NLGN1	34593	1079	-18
NLGN2	1906324	206	33
NLGN3	759088	NaN	27
NLGN4X	13333	NaN	-22
NLGN4Y	0	0	0
NLK	1261475	410	-3
NLN	407983	149	33
NLRC3	775547	224	39
NLRC4	394223	276	21
NLRC5	804832	154	53
NLRP1	1016229	605	10
NLRP10	105341	679	6
NLRP11	991833	362	-35
NLRP12	783610	486	-58
NLRP13	802494	561	-68
NLRP14	418263	881	-4
NLRP2	982889	432	-21
NLRP3	293118	825	-17
NLRP4	959325	484	-56
NLRP5	631041	561	-72
NLRP6	1463610	437	24
NLRP7	840563	573	-15
NLRP8	802494	561	-68
NLRP9	1024341	362	-13
NLRX1	1258103	195	57
NMB	341389	197	42
NMBR	152447	513	-28
NMD3	242883	581	-16
NME1	NaN	NaN	NaN
NME1-NME2	817798	267	-4
NME2	817798	267	-4
NME3	1604603	288	36
NME4	1549307	207	37
NME5	1044706	377	41
NME6	1054170	263	37
NME7	270055	491	12
NMI	215149	617	17
NMNAT1	744954	240	24
NMNAT2	769970	465	13
NMNAT3	224111	848	9
NMRAL1	751633	160	39
NMS	226558	642	9
NMT1	831501	191	28
NMT2	236087	620	23
NMU	247026	456	28
NMUR1	1052303	216	43
NMUR2	261658	955	4
NNAT	790368	549	52
NNMT	162422	499	-4
NNT	439246	597	0
NOB1	1410481	NaN	39
NOBOX	185754	838	-7
NOC2L	1851188	467	3
NOC3L	242278	482	12
NOC4L	608356	528	26
NOD1	623997	400	37
NOD2	294632	792	1
NODAL	550900	338	42
NOG	268027	457	-44
NOL10	804107	344	32
NOL11	692622	197	7
NOL12	1136064	180	65
NOL3	1109491	150	46
NOL4	10823	966	-14
NOL6	1001877	166	4
NOL7	277395	425	37
NOL8	527573	574	45
NOL9	636407	203	41
NOLC1	1041024	187	45
NOM1	386240	474	22
NOMO1	518442	343	19
NOMO2	707984	675	17
NOMO3	368918	346	15
NONO	728362	NaN	26
NOP10	542657	234	22
NOP14	680459	336	49
NOP16	576954	347	45
NOP2	2764720	179	42
NOP56	792941	450	48
NOP58	386034	270	50
NOS1	201056	259	13
NOS1AP	372116	410	2
NOS2	474206	541	-22
NOS3	698665	373	33
NOSIP	2080142	210	41
NOSTRIN	169372	724	12
NOTCH1	1489379	212	43
NOTCH2	429750	510	14
NOTCH2NL	NaN	NaN	NaN
NOTCH3	630378	381	11
NOTCH4	2119974	392	28
NOTUM	3814891	211	28
NOV	261913	519	-14
NOVA1	15854	883	-41
NOVA2	866240	261	42
NOX1	352830	NaN	29
NOX3	108543	628	13
NOX4	30048	1071	-25
NOX5	370981	394	26
NOXA1	1591716	213	30
NOXO1	1747301	183	46
NPAS1	1175364	207	35
NPAS2	339144	406	14
NPAS3	24372	929	-23
NPAS4	1963418	182	55
NPAT	411907	695	26
NPB	3798594	211	19
NPBWR1	99395	697	-19
NPBWR2	1032302	312	51
NPC1	347696	164	64
NPC1L1	1577451	363	49
NPC2	749329	384	31
NPDC1	1951939	202	40
NPEPL1	1026997	504	15
NPEPPS	1229549	176	18
NPFF	1469374	191	55
NPFFR1	552278	225	44
NPFFR2	17885	811	3
NPHP1	NaN	NaN	NaN
NPHP3	211862	768	24
NPHP4	508577	370	13
NPHS1	1060028	321	47
NPHS2	585744	613	-14
NPIP	506128	214	23
NPIPL3	499242	417	49
NPL	651460	626	22
NPLOC4	3705166	205	21
NPM1	300840	347	30
NPM2	576057	222	41
NPM3	817474	335	37
NPNT	262174	361	7
NPPA	519155	207	43
NPPB	519155	207	43
NPPC	893534	439	33
NPR1	1656449	183	40
NPR2	885056	190	51
NPR3	477035	487	-15
NPRL2	843769	206	51
NPRL3	1005761	238	36
NPS	470657	703	-30
NPSR1	106021	949	-0
NPTN	310307	416	20
NPTX1	755391	222	23
NPTX2	545145	560	20
NPTXR	1317460	358	54
NPVF	254553	444	32
NPW	1747301	183	46
NPY	148162	478	6
NPY1R	74427	1197	-18
NPY2R	49938	944	-5
NPY5R	74427	1197	-18
NQO1	1410481	NaN	39
NQO2	430294	268	42
NR0B1	73561	NaN	28
NR0B2	1025094	188	34
NR1D1	1573630	202	28
NR1D2	395355	211	2
NR1H2	1072052	528	26
NR1H3	1274054	198	38
NR1H4	191698	787	-6
NR1I2	422482	474	24
NR1I3	731911	229	39
NR2C1	365826	544	27
NR2C2	483299	400	43
NR2C2AP	940952	232	17
NR2E1	334933	436	35
NR2E3	1039394	440	25
NR2F1	263987	505	-1
NR2F2	94682	983	-22
NR2F6	865138	212	38
NR3C1	138106	270	41
NR3C2	73880	914	-15
NR4A1	468067	234	41
NR4A2	117105	440	4
NR4A3	280636	538	8
NR5A1	492584	353	24
NR5A2	120174	616	-8
NR6A1	892645	345	29
NRAP	195180	587	1
NRARP	1724821	399	43
NRAS	600650	472	11
NRBF2	219747	715	8
NRBP1	1244404	179	39
NRBP2	2376841	247	22
NRCAM	441225	682	1
NRD1	707583	382	16
NRF1	459189	253	32
NRG1	28018	952	-32
NRG2	749094	290	57
NRG3	5107	1174	-53
NRG4	467195	406	28
NRGN	168652	622	14
NRIP1	103852	526	8
NRIP2	495532	443	28
NRIP3	595760	357	33
NRK	18768	NaN	2
NRL	992350	355	19
NRM	2115149	171	41
NRN1	49114	693	17
NRN1L	879834	158	50
NRP1	360090	488	-9
NRP2	278279	567	5
NRSN1	349698	825	-21
NRSN2	879317	185	41
NRTN	1217326	294	35
NRXN1	8891	1372	-25
NRXN2	1897094	411	56
NRXN3	21523	905	-32
NSA2	418815	581	30
NSD1	948717	227	42
NSDHL	211215	NaN	5
NSF	525541	203	12
NSFL1C	397239	386	42
NSL1	365714	364	26
NSMAF	200152	574	17
NSMCE1	227767	448	27
NSMCE2	328239	420	38
NSMCE4A	249185	396	25
NSUN2	253355	585	6
NSUN3	85578	1378	-9
NSUN4	597667	255	28
NSUN5	902769	422	52
NSUN6	74263	512	-4
NSUN7	238024	202	47
NT5C	1511891	168	25
NT5C1A	974845	388	36
NT5C1B	39949	1075	-7
NT5C2	562038	150	47
NT5C3	376609	359	13
NT5C3L	1760409	175	35
NT5DC1	260580	640	19
NT5DC2	1114087	192	48
NT5DC3	1181243	358	15
NT5E	393239	321	13
NT5M	900505	220	15
NTAN1	564013	463	22
NTF3	28523	735	17
NTF4	2070141	200	35
NTHL1	1747301	183	46
NTM	9703	1115	-5
NTN1	128482	632	-7
NTN3	2085452	321	49
NTN4	461515	237	7
NTN5	1597109	242	31
NTNG1	78332	877	-17
NTNG2	361444	509	37
NTRK1	1505782	208	45
NTRK2	17424	692	1
NTRK3	124519	730	-57
NTS	22180	677	-32
NTSR1	1286411	208	27
NTSR2	219483	336	21
NUAK1	143018	473	7
NUAK2	664542	178	30
NUB1	604407	282	42
NUBP1	257980	356	37
NUBP2	1604603	288	36
NUBPL	335822	583	-7
NUCB1	1927185	211	43
NUCB2	522189	387	19
NUCKS1	732566	281	35
NUDC	1025094	188	34
NUDCD1	134762	731	17
NUDCD2	226025	696	12
NUDCD3	1535714	363	52
NUDT1	814176	430	38
NUDT10	112254	NaN	3
NUDT11	118616	NaN	31
NUDT12	201826	521	0
NUDT13	539834	354	40
NUDT14	872033	260	25
NUDT15	324467	567	34
NUDT16	274681	843	20
NUDT16L1	717235	194	35
NUDT17	NaN	NaN	NaN
NUDT18	584373	219	34
NUDT19	420201	410	-36
NUDT2	478815	302	38
NUDT21	504003	442	5
NUDT22	1602391	278	57
NUDT3	983693	233	31
NUDT4	416655	419	18
NUDT5	328303	227	34
NUDT6	126682	414	19
NUDT7	79181	1194	-24
NUDT8	1374022	393	53
NUDT9	530607	537	23
NUF2	130027	852	-9
NUFIP1	685617	360	32
NUFIP2	1348501	128	32
NUMA1	747702	311	59
NUMB	567659	180	41
NUMBL	918439	226	34
NUP107	486884	294	31
NUP133	249616	277	25
NUP153	474858	267	12
NUP155	339666	151	25
NUP160	931839	158	14
NUP188	1517799	203	29
NUP205	521421	326	14
NUP210	359039	285	48
NUP210L	2028800	184	37
NUP214	759063	213	46
NUP35	349831	524	11
NUP37	232146	467	9
NUP43	425807	234	39
NUP50	395347	362	-13
NUP54	525212	403	38
NUP62	1679101	205	45
NUP62CL	227679	NaN	32
NUP85	1723762	171	31
NUP88	1179795	474	24
NUP93	706254	143	26
NUP98	449630	310	25
NUPL1	331109	381	37
NUPL2	509506	218	23
NUPR1	1133167	269	63
NUS1	190019	639	3
NUSAP1	897414	237	24
NUTF2	959655	143	49
NVL	626336	139	16
NWD1	947233	293	35
NXF1	2405109	248	44
NXF2	NaN	NaN	NaN
NXF2B	95507	NaN	6
NXF3	456169	NaN	16
NXF5	272029	NaN	23
NXN	941400	376	15
NXNL1	899127	211	26
NXNL2	130577	438	1
NXPH1	85530	915	-11
NXPH2	69057	672	-4
NXPH3	1007676	348	26
NXPH4	2162032	238	58
NXT1	188823	688	-22
NXT2	133688	NaN	30
NYNRIN	897133	265	40
NYX	590228	NaN	54
